node,rhat,group,theta_star,Y,conflict,degree,wmean_Ninit,wmean_Winit,wmean_Sinit
86,1.06,S,2.04,1,0,16,2.181,2.014,1.764
187,1.06,W,0.721,1,0,18,1.758,1.529,1.318
176,1.059,N,-0.691,0,0,49,-0.067,0.216,0.302
130,1.058,N,-0.683,0,0,44,0.121,0.358,0.663
79,1.058,N,-1.061,0,0,41,0.24,0.396,0.72
175,1.057,W,0.97,1,0,16,1.345,1.465,1.058
69,1.057,W,1.797,0,0,14,0.593,0.921,1.063
3,1.056,N,-0.933,1,1,61,1.28,1.051,0.908
87,1.055,N,-1.051,1,0,44,1.009,0.867,0.664
163,1.055,N,-1.087,0,0,49,0.395,0.131,0.555
38,1.055,N,-0.709,1,0,40,0.734,0.99,0.614
109,1.054,S,3.11,1,0,6,0.931,0.934,1.225
181,1.053,N,-1.193,0,0,46,0.635,0.232,0.502
49,1.052,N,-0.648,1,0,45,0.743,0.981,1.082
10,1.052,N,-0.667,1,1,54,0.767,1.162,1.03
139,1.047,W,1.19,0,0,20,1.254,1.484,1.667
114,1.047,N,-0.802,0,0,47,0.273,0.67,0.516
23,1.045,S,2.596,1,0,9,0.884,1.286,1.113
183,1.045,W,0.94,1,0,17,1.347,1.671,1.762
