seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
23,SGHMC,355.8213988467808,17.09237417597302,4.913268732802783,0.15537119952146042,0.7315055875055876,0.823943661971831,0.8466601762001589,1.7782192377719288,0.8704437271778821,0.29862499237060547
23,AWSGLD,339.7431761883411,1.0141515175333211,0.31563573705965287,0.009981278400545208,0.8723878403878405,0.8714788732394366,0.8941631011752419,1.858026825130304,0.9488906820552947,0.7130734920501709
24,SGLD,650.4625335650393,288.77345267049935,7.802653849963706,0.24674157959767024,0.1467898107898108,0.5935828877005348,0.6081475385595294,2.679871726874916,0.5635965713682449,0.30220866203308105
24,qSGLD,363.2901176097066,1.6010367151666856,0.38718431837694356,0.012243843203709297,0.8303805503805505,0.8698752228163993,0.890292325521404,2.0611989597964375,0.9386671214354452,0.5220212936401367
24,cycSGLD,366.6523649753655,4.963284080825588,3.3693938765274454,0.10654958984050873,0.8144441144441145,0.8770053475935828,0.8920152433132292,1.757942523187596,0.9307979973932003,0.3013420104980469
24,SGHMC,378.85812871572097,17.16904782118104,4.942155823282104,0.15628468953036062,0.6904927864927866,0.8146167557932263,0.834121928131409,1.895628121486778,0.8651569967394702,0.3036160469055176
24,AWSGLD,362.690230779801,1.0011498852610998,0.3094207424163618,0.009784743013359755,0.8290683250683251,0.8716577540106952,0.8911866582686124,2.070581798329747,0.938549368805298,0.7179594039916992
25,SGLD,601.4280563839628,292.91480235377423,8.134937926183568,0.2572493247082678,-0.008481416481416482,0.5435992578849722,0.5271519361955949,2.9798466421172387,0.5045698026795021,0.2971317768096924
25,qSGLD,310.12944961961705,1.6161955894284574,0.4178475492212407,0.013213499702584367,0.8141462741462742,0.8181818181818182,0.8487818139634161,2.27796816257443,0.9000036220364699,0.5182158946990967
25,cycSGLD,314.2773586602644,5.764104630075792,3.6970250785790046,0.11691019815072633,0.7350629550629552,0.7996289424860853,0.8165671848771119,1.996179950279812,0.865252194350428,0.30182552337646484
25,SGHMC,328.3085656156053,19.795311585416698,5.399071598707157,0.17073363502241218,0.23859641859641864,0.6178107606679035,0.6160061534134699,2.2479377893456767,0.6255096004088876,0.30033111572265625
25,AWSGLD,309.5161256467296,1.0028716165410287,0.3126427138556345,0.00988663069640088,0.8343491103491105,0.8330241187384044,0.8599889236460642,2.3016647005239506,0.9121696400903094,0.6945557594299316
26,SGLD,612.9098053117709,291.9491198555247,8.055625091661293,0.2547412326605236,-0.0026404706404706407,0.5459558823529411,0.5333897803163504,3.0763007827835183,0.5026968846749226,0.29787182807922363
26,qSGLD,322.61273249797256,1.6520470417263482,0.3989668853039732,0.012616440685437142,0.847790047790048,0.8566176470588235,0.8806889822124045,2.225027754009099,0.9337388738390093,0.5400886535644531
26,cycSGLD,326.4158950540309,5.4552095977846875,3.573578948851197,0.11300648876800139,0.768018084018084,0.8400735294117647,0.8634041907943765,1.942104672756519,0.8924551728586171,0.29913926124572754
26,SGHMC,339.77116900657876,18.81048355033255,5.210484518950462,0.16476998792930234,0.36073113673113677,0.6709558823529411,0.7082721556767438,2.243975908536142,0.6751201302889577,0.30137109756469727
26,AWSGLD,321.9671214601558,1.0064360039095845,0.314236103205363,0.009937018091846848,0.8617422577422579,0.8602941176470589,0.8834252805769618,2.2209252320202357,0.9404266640866873,0.7177872657775879
27,SGLD,602.6016836447752,291.6860039108918,8.104664507404813,0.25629199514925805,0.005977829977829977,0.5559633027522936,0.5409121439599008,2.8737874352769284,0.5032079846758746,0.2942931652069092
27,qSGLD,312.62428932995647,1.7086095960730745,0.4083574236859748,0.012913395582860717,0.8279560439560439,0.8550458715596331,0.8754915791290092,2.2095769910675966,0.9221050509123905,0.5198500156402588
27,cycSGLD,316.81975388555213,5.904074151668738,3.751718273040279,0.11863974882080766,0.7639938079938081,0.8275229357798165,0.843884410541305,1.9365522164702917,0.8917471519306381,0.29744791984558105
27,SGHMC,329.4602601268424,18.544580392959006,5.342802817289851,0.16895425991800372,0.31255735255735256,0.6422018348623854,0.6670376624708351,2.1482801861677654,0.6635668918237725,0.29959726333618164
27,AWSGLD,311.93318734703604,1.0175076131526453,0.31002780867880925,0.009803940134159547,0.8363247443247442,0.8568807339449541,0.8777659244029054,2.221454675376432,0.9294525657828411,0.7106418609619141
28,SGLD,596.3950098692892,290.4780572931021,7.982146933027722,0.2524176492649511,0.061780237780237786,0.5515267175572519,0.5516485578012426,2.846421767381137,0.5326071268201937,0.29650115966796875
28,qSGLD,307.56288410241683,1.645931526229731,0.3958698147897455,0.012518502716446061,0.8526221526221528,0.8759541984732825,0.8955078847608778,2.2613747615589967,0.9453821604977868,0.5112226009368896
28,cycSGLD,311.3137332351426,5.3967806589554925,3.735956244854963,0.11814130972471397,0.8521351321351321,0.8683206106870229,0.8864372303428409,1.752526467214636,0.9458231765988839,0.30053091049194336
28,SGHMC,322.9453303287974,17.02837775261031,5.1770247957687126,0.16371189857797167,0.6847704247704247,0.8053435114503816,0.8277552346581506,1.946929064698542,0.8636739046763744,0.3007781505584717
28,AWSGLD,306.9238163124426,1.006863736255525,0.3106653321590807,0.009824100396754501,0.8583540663540664,0.8702290076335878,0.8910228000939282,2.260185717196035,0.9470139200718456,0.6931369304656982
29,SGLD,590.8535468539196,295.7580564999209,8.251401625342696,0.2609322302489826,-0.032878544878544885,0.5704347826086956,0.5618286753880614,2.9793564592465582,0.4858803069053709,0.2955794334411621
