#truth,53,n,100,mu,1.0,alpha,0.4,zeta,1.0
seed,method,rmed,rq95,rmax,ess,thS,thW,thN,piS,piW,piN,lowU,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
2,qSGLD,1.5501808314925078,2.2353784500083758,2.819318209176402,13.18720001951856,1.0712735847167503,0.004441100359409781,0.403074286269035,0.7238606190725569,0.4999294595093914,0.5911914675708583,118.38711877995125,0.3936273627362736,0.261010101010101,0.6896551724137931,0.7465719831262582,1.0366140911533503,0.7060755336617406,1.3221113228853434,0.94,0.5411014439096631,1.0,0.017241379310344827,0.03389830508474576,0.0,1,1.0,0.06896551724137931,0.12903225806451613,0.0,4,0.8823529411764706,0.25862068965517243,0.4,0.11764705882352941,17,0.7878787878787878,0.4482758620689655,0.5714285714285714,0.21212121212121213,33,0.6714285714285714,0.8103448275862069,0.7343749999999999,0.32857142857142857,70
2,cycSGLD,1.0079081426249528,1.024255317071729,1.032910097756595,177.6781465466958,1.0432393501594692,0.9972489352615737,0.9219553835498728,0.7375328357719276,0.727746420830781,0.7128708114104699,61.7046598667274,0.14054605460546055,0.08727272727272728,0.6206896551724138,0.5994774860620491,1.4980903923260245,0.568144499178982,0.0475473269335457,0.09,1.0,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.0,0.0,0,1.0,1,0.5833333333333334,0.1206896551724138,0.2,0.4166666666666667,12,0.58,1.0,0.7341772151898733,0.42,100
2,SGHMC,2.5409998191664385,4.385486986919561,5.582354424124992,5.198420929076214,0.19725544025831704,0.340626453394121,0.06483533740669833,0.5421090263683058,0.5757406453376555,0.515831791037326,119.60360456131484,0.05758175817581758,0.04000000000000001,0.6206896551724138,0.6575170362231488,1.2697560224031905,0.555008210180624,1.1730953812524825,0.83,0.47510955553741846,1.0,0.017241379310344827,0.03389830508474576,0.0,1,1.0,0.017241379310344827,0.03389830508474576,0.0,1,1.0,0.06896551724137931,0.12903225806451613,0.0,4,0.6666666666666666,0.13793103448275862,0.2285714285714286,0.3333333333333333,12,0.6739130434782609,0.5344827586206896,0.5961538461538461,0.32608695652173914,46
2,AWSGLD,1.3511832975085456,1.7826625494306978,1.9608713392355215,14.801100402260614,1.0245021738224236,0.2217324852319838,0.5642336813710676,0.7234491955389781,0.5517714118585226,0.6303708120685173,112.83309915809043,0.389114911491149,0.254949494949495,0.6724137931034483,0.7253747383546478,0.9901311358644038,0.7085385878489328,1.323489249327793,0.95,0.5255745716272032,1.0,0.017241379310344827,0.03389830508474576,0.0,1,1.0,0.017241379310344827,0.03389830508474576,0.0,1,0.9,0.15517241379310345,0.2647058823529411,0.1,10,0.8148148148148148,0.3793103448275862,0.5176470588235293,0.18518518518518517,27,0.6438356164383562,0.8103448275862069,0.7175572519083969,0.3561643835616438,73
2,acMH,1.1338459973420045,1.2867994418490052,1.475262486573457,12.052237616976427,1.8710448502111228,0.9048907167567855,1.2346908861495551,0.857780238961945,0.7059166824170262,0.7684267849470268,103.44284273728792,0.4726312631263126,0.2933333333333334,0.7068965517241379,0.7752357639300737,2.160540623777134,0.7266009852216749,1.4209366325043353,0.89,0.5907588927982655,1.0,0.017241379310344827,0.03389830508474576,0.0,1,0.95,0.3275862068965517,0.4871794871794871,0.05,20,0.7321428571428571,0.7068965517241379,0.719298245614035,0.26785714285714285,56,0.5824175824175825,0.9137931034482759,0.7114093959731543,0.4175824175824176,91,0.58,1.0,0.7341772151898733,0.42,100
3,SGLD,4.800796652379647,9.773504027910109,12.19208859314826,4.050999614971741,-0.02701536260382519,-0.007396934464655854,0.04102959500765279,0.4926619553233142,0.4974412390343686,0.5089596897396217,139.76207577894954,-0.055121512151215114,-0.038787878787878795,0.576271186440678,0.6053268683280263,1.0906237366663423,0.4915254237288136,1.067469100274147,0.85,0.4001166607120434,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.03389830508474576,0.06557377049180328,0.0,2,0.5625,0.15254237288135594,0.24000000000000002,0.4375,16
3,qSGLD,1.4286847835010736,2.220435207427266,3.0261687403378184,10.534915999236109,1.4076223073861192,0.670626996754608,0.8686454074642175,0.79730126106215,0.6558072044764489,0.6964606694260188,104.08984709098203,0.45101710171017095,0.296969696969697,0.711864406779661,0.7669361154082875,1.3608076699735319,0.7168251343530384,1.1463994902790815,0.85,0.5253078871839129,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,0.8235294117647058,0.23728813559322035,0.368421052631579,0.17647058823529413,17,0.7454545454545455,0.6949152542372882,0.7192982456140351,0.2545454545454545,55,0.59,1.0,0.7421383647798743,0.41,100
3,cycSGLD,1.0057170256223378,1.0165620810697373,1.0223480400585838,179.8055018582915,1.0706618933985532,0.9499783119402317,0.9611949250637842,0.7428849073408633,0.72010346753762,0.7219685770293718,63.05561288930776,0.23293129312931293,0.1563636363636364,0.6101694915254238,0.669792349855528,1.3881406619508863,0.6176105828854899,0.053895984613045955,0.05,0.9559198542805101,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,0.7142857142857143,0.0847457627118644,0.15151515151515152,0.2857142857142857,7,0.59,1.0,0.7421383647798743,0.41,100
3,SGHMC,2.1751663427549683,3.4401618404159806,5.182305213970519,5.764538665495916,0.08111426630974682,-0.06368477197748679,0.08611485228141873,0.5190757369070409,0.48402597986665635,0.5203281715640996,102.88505250663013,0.000192019201920192,-0.0024242424242424247,0.6271186440677966,0.6358771974883317,0.936460066609119,0.49317899958660605,0.9452796302978023,0.88,0.4181696322569357,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,0.4166666666666667,0.0847457627118644,0.1408450704225352,0.5833333333333334,12
3,AWSGLD,1.2650731717181165,1.734108308871095,2.0043239295259334,13.416732311744628,1.4126582613875296,0.7066770699248655,0.882384517839354,0.7986734928663745,0.6640627638470785,0.7000407537319245,110.18661896770298,0.45440144014401435,0.29616161616161624,0.6949152542372882,0.7553471205935629,1.3696782202816196,0.7126911947085572,1.2775761749577885,0.92,0.547325429165732,1.0,0.01694915254237288,0.03333333333333333,0.0,1,1.0,0.01694915254237288,0.03333333333333333,0.0,1,0.8666666666666667,0.22033898305084745,0.3513513513513513,0.13333333333333333,15,0.7407407407407407,0.6779661016949152,0.7079646017699114,0.25925925925925924,54,0.59,1.0,0.7421383647798743,0.41,100
